lr,raw_loss,smooth_loss
1.00000000e-07,13.877311,13.877311
1.04712855e-07,13.811603,13.844125
1.09647820e-07,13.859847,13.849472
1.14815362e-07,13.811432,13.839672
1.20226443e-07,13.867682,13.845502
1.25892541e-07,13.808120,13.838953
1.31825674e-07,13.802602,13.833440
1.38038426e-07,13.826625,13.832527
1.44543977e-07,13.807050,13.829462
1.51356125e-07,13.794957,13.825689
1.58489319e-07,13.784025,13.821508
1.65958691e-07,13.831639,13.822449
1.73780083e-07,13.780060,13.818779
1.81970086e-07,13.777345,13.815415
1.90546072e-07,13.777083,13.812482
1.99526231e-07,13.778810,13.810044
2.08929613e-07,13.744301,13.805521
2.18776162e-07,13.778001,13.803715
2.29086765e-07,13.798037,13.803359
2.39883292e-07,13.746264,13.799924
2.51188643e-07,13.777645,13.798635
2.63026799e-07,13.678704,13.791950
2.75422870e-07,13.711953,13.787645
2.88403150e-07,13.847147,13.790743
3.01995172e-07,13.756590,13.789020
3.16227766e-07,13.788016,13.788971
3.31131121e-07,13.671888,13.783401
3.46736850e-07,13.699564,13.779520
3.63078055e-07,13.717211,13.776710
3.80189396e-07,13.651487,13.771199
3.98107171e-07,13.688179,13.767632
4.16869383e-07,13.687102,13.764249
4.36515832e-07,13.708519,13.761959
4.57088190e-07,13.622665,13.756352
4.78630092e-07,13.653781,13.752305
5.01187234e-07,13.706745,13.750542
5.24807460e-07,13.630455,13.745980
5.49540874e-07,13.642512,13.742118
5.75439937e-07,13.633171,13.738122
6.02559586e-07,13.588787,13.732733
6.30957344e-07,13.597416,13.727928
6.60693448e-07,13.574751,13.722572
6.91830971e-07,13.479085,13.714183
7.24435960e-07,13.574086,13.709425
7.58577575e-07,13.509140,13.702717
7.94328235e-07,13.530256,13.697017
8.31763771e-07,13.556650,13.692438
8.70963590e-07,13.456433,13.684835
9.12010839e-07,13.458532,13.677633
9.54992586e-07,13.476053,13.671292
1.00000000e-06,13.402502,13.662933
1.04712855e-06,13.400546,13.654863
1.09647820e-06,13.388207,13.646748
1.14815362e-06,13.416896,13.639826
1.20226443e-06,13.394412,13.632509
1.25892541e-06,13.247313,13.621137
1.31825674e-06,13.274589,13.611001
1.38038426e-06,13.267148,13.601037
1.44543977e-06,13.234797,13.590519
1.51356125e-06,13.119797,13.577116
1.58489319e-06,13.181929,13.565959
1.65958691e-06,13.197103,13.555630
1.73780083e-06,13.062120,13.541921
1.81970086e-06,13.174138,13.531783
1.90546072e-06,13.131433,13.520830
1.99526231e-06,12.959807,13.505593
2.08929613e-06,12.946993,13.490530
2.18776162e-06,12.912417,13.475049
2.29086765e-06,12.800069,13.457095
2.39883292e-06,12.818622,13.440224
2.51188643e-06,12.776322,13.422793
2.63026799e-06,12.638382,13.402326
2.75422870e-06,12.704815,13.384236
2.88403150e-06,12.663255,13.365648
3.01995172e-06,12.565400,13.345135
3.16227766e-06,12.509350,13.323831
3.31131121e-06,12.507431,13.303135
3.46736850e-06,12.387884,13.280057
3.63078055e-06,12.356044,13.256878
3.80189396e-06,12.293324,13.232830
3.98107171e-06,12.138726,13.205658
4.16869383e-06,12.063127,13.177420
4.36515832e-06,12.096356,13.150827
4.57088190e-06,11.863131,13.119295
4.78630092e-06,11.992552,13.091828
5.01187234e-06,11.776736,13.059910
5.24807460e-06,11.744531,13.028120
5.49540874e-06,11.647820,12.994900
5.75439937e-06,11.536618,12.959945
6.02559586e-06,11.506433,12.925242
6.30957344e-06,11.206008,12.884353
6.60693448e-06,11.149873,12.843257
6.91830971e-06,11.192064,12.804279
7.24435960e-06,11.109872,12.764424
7.58577575e-06,10.912870,12.721026
7.94328235e-06,10.725354,12.674410
8.31763771e-06,10.927677,12.633745
8.70963590e-06,10.455031,12.583190
9.12010839e-06,10.327195,12.531009
9.54992586e-06,10.165149,12.476457
1.00000000e-05,10.110432,12.422067
1.04712855e-05,9.975965,12.366005
1.09647820e-05,9.721968,12.305582
1.14815362e-05,9.389548,12.239133
1.20226443e-05,9.436480,12.175445
1.25892541e-05,9.242949,12.108988
1.31825674e-05,9.119232,12.041413
1.38038426e-05,8.874563,11.970021
1.44543977e-05,8.738503,11.897356
1.51356125e-05,8.568054,11.822678
1.58489319e-05,8.502853,11.748393
1.65958691e-05,8.244891,11.670184
1.73780083e-05,8.043163,11.589405
1.81970086e-05,7.802771,11.505262
1.90546072e-05,7.683423,11.420526
1.99526231e-05,7.534581,11.334554
2.08929613e-05,7.346629,11.246514
